mpisize,file,filesize,walltime,rate(MB/s)
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test175.nc,34359750521,2671.26155186,12.8627428853
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test117.nc,34359750521,2682.06945586,12.8109100403
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test117.nc,34359750521,2681.98428702,12.8113168624
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test149.nc,34359750521,2682.04185009,12.8110419007
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test95.nc,34359750521,2682.69649601,12.8079156819
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test254.nc,34359750521,2684.63810492,12.7986526221
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test254.nc,34359750521,2684.92905307,12.7972657161
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test196.nc,34359750521,2689.12676501,12.7772892554
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test92.nc,34359750521,2692.1414721,12.7629810235
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test92.nc,34359750521,2692.22628593,12.7625789483
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test112.nc,34359750521,2693.98183894,12.7542621202
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test249.nc,34359750521,2721.0549252,12.6273638223
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test214.nc,34359750521,2727.72356796,12.5964928868
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test206.nc,34359750521,2742.09127498,12.5304911746
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test170.nc,34359750521,2766.78104711,12.4186735184
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test98.nc,34359750521,2810.70010495,12.2246234881
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test176.nc,34359750521,2815.25362182,12.2048508364
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test26.nc,34359750521,2817.98442197,12.1930235856
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test24.nc,34359750521,2844.88968515,12.0777092695
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test72.nc,34359750521,2851.54086518,12.0495381779
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test3.nc,34359750521,2869.16470695,11.9755239
